,ID,Image_Name,Question,Sub_Question,Consumer_Answer
0,10934,Kotex_NW_110003_110003_D1a_0.jpg,理想中的经期肌肤洁净-看起来像,,看起来像一块很柔软的抱枕，看上去特别的柔软而且很洁白的感觉。
1,10935,Kotex_NW_110003_110003_D2a_0.jpg,理想中的经期肌肤洁净-摸起来像,,摸起来很光滑，丝柔像洁白的盘子面一样，不会有颗粒感。
2,10936,Kotex_NW_110003_110003_D3a_0.jpg,理想中的经期肌肤洁净-闻起来像,,闻起来像大自然的味道，仿佛在草地里面跑，可以包含一些很自然的清香，比如说草坪啊天空啊，海洋啊等等。
3,10937,Kotex_NW_110003_110003_D4a_0.jpg,理想中的经期肌肤洁净-听起来像,,听起来像是水滴的声音，就会觉得滴答滴答的特别的清晰，然后在安静的环境里会让人特别的心旷神怡。
4,10947,Sofy_NFS_110004_110004_D1a_0.jpg,理想中的经期肌肤洁净-看起来像,,理想的肌肤清洁卫生巾看起来像云朵一样摸起来柔柔的，看起来非常的舒适温暖。
5,10948,Sofy_NFS_110004_110004_D2a_0.jpg,理想中的经期肌肤洁净-摸起来像,,我希望它摸起来像霞光，没有存在感，但是又特别的舒适。
6,10949,Sofy_NFS_110004_110004_D3a_0.jpg,理想中的经期肌肤洁净-闻起来像,,我希望它闻起来有一股淡淡的花香，就像春天的花儿一样。
7,10950,Sofy_NFS_110004_110004_D4a_0.jpg,理想中的经期肌肤洁净-听起来像,,我希望可以提供理想肌肤洁净的卫生巾，听起来像风一样没有声音，却又纯净带走那一丝炽热。
8,10958,Laurier_SSG_110005_110005_D1a_0.jpg,理想中的经期肌肤洁净-看起来像,,是自然的有机的
9,10959,Laurier_SSG_110005_110005_D2a_0.jpg,理想中的经期肌肤洁净-摸起来像,,有大自然的气息，然后还有水果的淡淡清香。
10,10960,Laurier_SSG_110005_110005_D3a_0.jpg,理想中的经期肌肤洁净-闻起来像,,大海，蓝天，淡淡的清香。
11,10961,Laurier_SSG_110005_110005_D4a_0.jpg,理想中的经期肌肤洁净-听起来像,,像海浪拍打过来的声音。
12,10971,ABC_110006_110006_D1a_0.jpg,理想中的经期肌肤洁净-看起来像,,安静舒适干净绵软
13,10972,ABC_110006_110006_D2a_0.jpg,理想中的经期肌肤洁净-摸起来像,,理想的卫生巾摸起来非常的干净，柔软。纯棉的呵护，像小被子一样包裹着我，贴心，踏实
14,10973,ABC_110006_110006_D3a_0.jpg,理想中的经期肌肤洁净-闻起来像,,理想的卫生巾应该是清香的，有香味的，可以加入精油成分，或者联名
